epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,426.237,0.59114,2.62059,0.4738,0.75296,0.72162,0.71271,0.51221,0.39702,0.62984,0.36564,0.000332375,0.000332375,0.000332375
2,842.549,0.44238,0.6474,0.34698,0.71637,0.64867,0.6911,0.46887,0.43089,0.76127,0.4286,0.000652528,0.000652528,0.000652528
3,1258.01,0.43816,0.6449,0.34135,0.66323,0.60079,0.60722,0.4068,0.45589,0.81679,0.47454,0.00095948,0.00095948,0.00095948
4,1665.23,0.43492,0.67362,0.34273,0.73218,0.64448,0.66879,0.44687,0.40035,0.76831,0.40567,0.0009406,0.0009406,0.0009406
5,2069.47,0.41937,0.6217,0.32811,0.70113,0.73206,0.74812,0.51006,0.37733,0.68271,0.35183,0.0009208,0.0009208,0.0009208
6,2476.42,0.39953,0.60184,0.31299,0.85206,0.78534,0.84039,0.59677,0.35341,0.5976,0.35474,0.000901,0.000901,0.000901
7,2887.65,0.39026,0.58152,0.30697,0.87158,0.75977,0.83062,0.57955,0.37762,0.56769,0.36835,0.0008812,0.0008812,0.0008812
8,3294.44,0.38211,0.56089,0.30201,0.82864,0.79391,0.83821,0.59757,0.35529,0.53061,0.34168,0.0008614,0.0008614,0.0008614
9,3706.01,0.37108,0.56168,0.28581,0.87088,0.84162,0.86427,0.59621,0.36283,0.54402,0.35939,0.0008416,0.0008416,0.0008416
10,4109.47,0.35482,0.5321,0.27993,0.84569,0.82909,0.85776,0.58253,0.36111,0.5387,0.36845,0.0008218,0.0008218,0.0008218
11,4515.43,0.35338,0.53032,0.27548,0.88671,0.84047,0.89078,0.62789,0.35455,0.48651,0.34769,0.000802,0.000802,0.000802
12,4928.67,0.34969,0.51188,0.27269,0.86877,0.84867,0.89385,0.63276,0.33891,0.51815,0.32702,0.0007822,0.0007822,0.0007822
13,5338.9,0.34109,0.5007,0.26413,0.86579,0.84648,0.88089,0.62812,0.3489,0.50157,0.34576,0.0007624,0.0007624,0.0007624
14,5742.64,0.34019,0.4953,0.26574,0.89915,0.84057,0.8884,0.62691,0.34322,0.49708,0.35329,0.0007426,0.0007426,0.0007426
15,6147.11,0.3312,0.49314,0.25437,0.91499,0.86206,0.91467,0.66279,0.32831,0.45057,0.32201,0.0007228,0.0007228,0.0007228
16,6554.52,0.32352,0.4749,0.25001,0.90648,0.85528,0.89573,0.65288,0.32742,0.47074,0.32473,0.000703,0.000703,0.000703
17,6959.21,0.31931,0.46989,0.24915,0.87312,0.82839,0.85161,0.59936,0.34953,0.51446,0.36564,0.0006832,0.0006832,0.0006832
18,7363.99,0.31921,0.46976,0.25678,0.90351,0.85807,0.90303,0.64838,0.33903,0.47686,0.34214,0.0006634,0.0006634,0.0006634
19,7768.08,0.31549,0.46035,0.24156,0.89603,0.8802,0.90775,0.6585,0.32742,0.45348,0.31659,0.0006436,0.0006436,0.0006436
20,8172.1,0.30879,0.4686,0.23772,0.85341,0.85293,0.87764,0.62926,0.33657,0.49472,0.35212,0.0006238,0.0006238,0.0006238
21,8576.15,0.30111,0.44978,0.23515,0.91137,0.87979,0.91424,0.65407,0.32411,0.46163,0.32191,0.000604,0.000604,0.000604
22,8979,0.30096,0.44601,0.23234,0.88291,0.8733,0.90342,0.65815,0.32932,0.47258,0.33557,0.0005842,0.0005842,0.0005842
23,9382.76,0.29469,0.43898,0.23401,0.91422,0.87811,0.91094,0.6661,0.32616,0.4314,0.32142,0.0005644,0.0005644,0.0005644
24,9789.4,0.29065,0.42735,0.22451,0.9157,0.85817,0.9095,0.66162,0.32827,0.45963,0.32977,0.0005446,0.0005446,0.0005446
25,10198.3,0.28853,0.43135,0.22386,0.92612,0.86681,0.91107,0.66749,0.32028,0.46574,0.3312,0.0005248,0.0005248,0.0005248
26,10608.1,0.28466,0.41622,0.2232,0.89713,0.85885,0.90687,0.66108,0.31622,0.44935,0.32859,0.000505,0.000505,0.000505
27,11012.1,0.27794,0.41132,0.21455,0.90083,0.86762,0.90438,0.66444,0.31905,0.45141,0.31847,0.0004852,0.0004852,0.0004852
28,11418.2,0.27282,0.41188,0.20998,0.91439,0.86052,0.91186,0.6702,0.30957,0.45534,0.31387,0.0004654,0.0004654,0.0004654
29,11826.2,0.27296,0.40434,0.21151,0.89807,0.88044,0.9037,0.65449,0.33414,0.45332,0.34885,0.0004456,0.0004456,0.0004456
30,12229.7,0.2672,0.39253,0.20513,0.91864,0.8761,0.91603,0.68033,0.31902,0.43929,0.32032,0.0004258,0.0004258,0.0004258
31,12638.7,0.26322,0.39133,0.19983,0.90476,0.88513,0.91647,0.67125,0.31371,0.43214,0.31724,0.000406,0.000406,0.000406
32,13048.2,0.26042,0.37994,0.2006,0.91801,0.89124,0.91848,0.66997,0.33374,0.41464,0.3435,0.0003862,0.0003862,0.0003862
33,13452.9,0.25628,0.37891,0.19257,0.9207,0.87741,0.91622,0.67882,0.31647,0.4264,0.31743,0.0003664,0.0003664,0.0003664
34,13855.3,0.24867,0.37501,0.19236,0.91388,0.86642,0.90386,0.6789,0.31819,0.41999,0.3101,0.0003466,0.0003466,0.0003466
35,14256.6,0.24507,0.37433,0.18667,0.93421,0.85511,0.92134,0.6904,0.3065,0.43118,0.29716,0.0003268,0.0003268,0.0003268
36,14666.5,0.24731,0.36683,0.18907,0.92699,0.86595,0.91466,0.69147,0.31063,0.43543,0.30941,0.000307,0.000307,0.000307
37,15074.4,0.23887,0.36152,0.18432,0.9427,0.856,0.91335,0.67223,0.3199,0.41728,0.32968,0.0002872,0.0002872,0.0002872
38,15486.3,0.24026,0.35619,0.1791,0.90053,0.88948,0.90529,0.67505,0.31837,0.44094,0.32669,0.0002674,0.0002674,0.0002674
39,15891.8,0.23074,0.34408,0.18049,0.9328,0.8714,0.91685,0.68419,0.30868,0.42184,0.31365,0.0002476,0.0002476,0.0002476
40,16299.3,0.2281,0.34996,0.1773,0.91261,0.87998,0.92052,0.69776,0.30565,0.4201,0.3021,0.0002278,0.0002278,0.0002278
41,16707.1,0.18215,0.26803,0.14818,0.91864,0.87803,0.91926,0.68748,0.30735,0.43259,0.31626,0.000208,0.000208,0.000208
42,17108.2,0.17498,0.25992,0.13877,0.92441,0.88018,0.91695,0.6904,0.30183,0.41722,0.30661,0.0001882,0.0001882,0.0001882
43,17512,0.17143,0.2555,0.1351,0.93873,0.87065,0.92139,0.69169,0.30599,0.42536,0.31196,0.0001684,0.0001684,0.0001684
44,17915.4,0.16646,0.24925,0.12933,0.9197,0.88552,0.92528,0.6929,0.30325,0.43353,0.30543,0.0001486,0.0001486,0.0001486
45,453.515,0.21924,0.33264,0.16398,0.9305,0.88154,0.91655,0.68537,0.31063,0.42673,0.31722,0.0001288,0.0001288,0.0001288
46,906.212,0.21356,0.32618,0.16166,0.91407,0.89364,0.91892,0.69394,0.29948,0.41713,0.30068,0.000109,0.000109,0.000109
47,1355.67,0.21428,0.31919,0.16075,0.93529,0.86511,0.91788,0.69008,0.31195,0.40412,0.32429,8.92e-05,8.92e-05,8.92e-05
48,1805.42,0.20576,0.31862,0.15549,0.906,0.88825,0.91533,0.68725,0.30954,0.42227,0.31953,6.94e-05,6.94e-05,6.94e-05
49,2255.02,0.20536,0.31681,0.15484,0.89753,0.88608,0.91793,0.69295,0.30878,0.42001,0.31453,4.96e-05,4.96e-05,4.96e-05
50,2705.01,0.20085,0.30683,0.14959,0.91844,0.8817,0.91782,0.68867,0.31065,0.42436,0.32198,2.98e-05,2.98e-05,2.98e-05
