epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.483,1.22415,5.03678,0.01678,0.63063,0.41427,0.47644,0.32317,1.10551,2.21827,0.01858,0.000332375,0.000332375,0.000332375
2,279.321,1.31125,2.92076,0.01902,0.57743,0.59734,0.59676,0.3816,1.23004,1.76384,0.02199,0.000652528,0.000652528,0.000652528
3,402.493,1.35042,2.03685,0.01945,0.68374,0.62133,0.67711,0.40251,1.34642,1.52255,0.02532,0.00095948,0.00095948,0.00095948
4,524.219,1.34004,1.71733,0.01954,0.69056,0.63997,0.66135,0.39678,1.33272,1.45311,0.02389,0.0009406,0.0009406,0.0009406
5,647.457,1.32471,1.55881,0.01926,0.79882,0.71713,0.77718,0.48457,1.26826,1.23416,0.02313,0.0009208,0.0009208,0.0009208
6,770.195,1.31012,1.45452,0.01879,0.80666,0.72872,0.79821,0.51858,1.20245,1.18163,0.02089,0.000901,0.000901,0.000901
7,893.397,1.28516,1.37703,0.01829,0.79892,0.69884,0.79313,0.51761,1.25155,1.1809,0.02216,0.0008812,0.0008812,0.0008812
8,1017.36,1.277,1.30067,0.01839,0.81039,0.71642,0.78586,0.5101,1.20689,1.16642,0.02135,0.0008614,0.0008614,0.0008614
9,1141.42,1.25045,1.28745,0.01766,0.81682,0.74319,0.81813,0.53091,1.25125,1.04485,0.02105,0.0008416,0.0008416,0.0008416
10,1266.36,1.22796,1.21843,0.01766,0.82753,0.72013,0.80962,0.51463,1.28203,1.0935,0.02299,0.0008218,0.0008218,0.0008218
11,1391.87,1.21681,1.18981,0.01717,0.80655,0.76691,0.82767,0.55851,1.17069,0.99543,0.02011,0.000802,0.000802,0.000802
12,1517.57,1.20849,1.17403,0.01712,0.82554,0.72519,0.81417,0.53719,1.2089,1.06134,0.02095,0.0007822,0.0007822,0.0007822
13,1643.91,1.19879,1.11419,0.0169,0.86262,0.76058,0.83489,0.56889,1.15632,1.04102,0.0193,0.0007624,0.0007624,0.0007624
14,1767.53,1.19883,1.107,0.01667,0.81697,0.76671,0.83065,0.5678,1.16644,0.97792,0.02023,0.0007426,0.0007426,0.0007426
15,1890.28,1.18593,1.09389,0.0166,0.86246,0.76987,0.85732,0.57468,1.13699,0.90184,0.0199,0.0007228,0.0007228,0.0007228
16,2012.89,1.16304,1.07414,0.01609,0.85209,0.79588,0.85887,0.59121,1.11815,0.84448,0.01901,0.000703,0.000703,0.000703
17,2135.84,1.15185,1.0208,0.01591,0.83846,0.80336,0.85483,0.57803,1.15466,0.89475,0.01995,0.0006832,0.0006832,0.0006832
18,2261.39,1.14022,0.99737,0.01596,0.83448,0.79391,0.85152,0.59111,1.10606,0.91215,0.01872,0.0006634,0.0006634,0.0006634
19,2386.4,1.14237,0.97286,0.01562,0.87404,0.80839,0.87544,0.61726,1.06593,0.86428,0.01772,0.0006436,0.0006436,0.0006436
20,2508.35,1.12274,0.97098,0.01534,0.85613,0.79646,0.85918,0.59783,1.09862,0.86379,0.01824,0.0006238,0.0006238,0.0006238
21,2632.45,1.10753,0.94013,0.01545,0.87262,0.81004,0.88024,0.60997,1.08909,0.81072,0.01852,0.000604,0.000604,0.000604
22,2755.45,1.10518,0.93924,0.015,0.87697,0.79135,0.87098,0.59549,1.12643,0.85033,0.01985,0.0005842,0.0005842,0.0005842
23,2876.66,1.08914,0.89978,0.01514,0.87754,0.79089,0.8606,0.61412,1.03507,0.83256,0.01703,0.0005644,0.0005644,0.0005644
24,2998.58,1.085,0.88918,0.01489,0.88818,0.8047,0.8687,0.6215,1.03449,0.83106,0.01688,0.0005446,0.0005446,0.0005446
25,3119.58,1.07833,0.88972,0.01481,0.90079,0.80569,0.88202,0.629,1.04893,0.77499,0.01748,0.0005248,0.0005248,0.0005248
26,3240.96,1.06365,0.86281,0.01454,0.87918,0.81155,0.87604,0.62365,1.04905,0.76976,0.01721,0.000505,0.000505,0.000505
27,3362.83,1.04704,0.84117,0.01417,0.87823,0.83038,0.87425,0.63443,1.03239,0.76872,0.01694,0.0004852,0.0004852,0.0004852
28,3485.04,1.04098,0.84884,0.01418,0.87118,0.83759,0.88525,0.64582,1.01434,0.76779,0.01617,0.0004654,0.0004654,0.0004654
29,3608.82,1.04173,0.81952,0.01421,0.89028,0.83445,0.88352,0.63887,1.04402,0.76141,0.01721,0.0004456,0.0004456,0.0004456
30,3730.76,1.02409,0.79865,0.01383,0.8521,0.82133,0.87709,0.63635,0.99979,0.75981,0.01583,0.0004258,0.0004258,0.0004258
